time/steps,time/epochs,time/steps_per_second,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,step
0,0,368.4453068793433,2.1003217697143555,0.5173611268401146,0.548611119389534,0.5138888955116272,2.2198877811431883,0.440972226858139,0.463888892531395,0.43333333879709246,0
200,0,12.525289156728686,1.5851138520240784,0.6669791733473539,0.8367013940215111,0.7490972280502319,1.5733173847198487,0.6444444507360458,0.8493055611848831,0.765972226858139,250
500,0,12.364945826211992,1.261808830499649,0.6363541728258133,0.8825347281992435,0.8186111171543599,1.4183164834976196,0.8000000029802322,0.8979166686534882,0.8013888955116272,500
700,0,12.019867394993764,1.0253244799375534,0.6331250066310168,0.9113194495439529,0.8536805613338947,0.8849550962448121,0.8000000089406967,0.936111119389534,0.8944444507360458,750
1000,0,12.081662431478117,0.8516951924562455,0.6459027841687203,0.9196180590987205,0.8795486164093017,0.827732264995575,0.8430555641651154,0.9527777791023254,0.8763888984918594,1000
1200,0,12.636011806975983,0.8202876543998718,0.6495138937234879,0.9305902816355228,0.8844791722297668,0.815314519405365,0.8298611164093017,0.9340277791023255,0.8756944477558136,1250
1500,0,12.94789276896549,0.7822969231009483,0.6319444485753775,0.9367361125349999,0.8929166707396508,0.7148697018623352,0.8229166686534881,0.9416666686534881,0.9027777820825577,1500
1700,0,12.858060610356162,0.7448514899611474,0.6407986172661185,0.936631946414709,0.8974305599927902,0.7213348031044007,0.8472222268581391,0.9402777820825576,0.9027777820825577,1750
2000,0,13.139419910655288,0.7370212554931641,0.6493055598810316,0.9409722235798835,0.9001736149191857,0.7160925269126892,0.819444453716278,0.9631944417953491,0.9020833402872086,2000
2200,0,12.719258636809002,0.7232190677523613,0.6427430598437787,0.9421875013411045,0.9014236155152321,0.7112032055854798,0.8402777880430221,0.9638888895511627,0.9027777850627899,2250
2500,0,13.502694773844324,0.7128871446847915,0.6456597273796797,0.9462500008940696,0.9039236161112786,0.7152105212211609,0.8583333373069764,0.9680555522441864,0.9083333402872086,2500
2700,0,13.063343498269917,0.693516460955143,0.6411458373069763,0.9490972247719764,0.9038194487988949,0.6831658244132995,0.8611111223697663,0.9534722149372101,0.9215277820825577,2750
