time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,step
0,0,99.69459156821728,0.003637075424194336,0.005339384078979492,0.9940831661224365,2.101414680480957,0.5052083432674408,0.526041679084301,0.5546875149011612,2.046094810962677,0.4289062641561031,0.5325520984828472,0.5138021007180213,0
1000,0,14.977226552947979,0.0008409023284912109,0.001234889030456543,0.06662106513977051,1.0212444722652436,0.8091666864603758,0.8979166845977307,0.851718768030405,1.4825238704681396,0.5955729335546494,0.813281275331974,0.7513021066784858,1000
2000,0,14.972217554898524,0.0008912086486816406,0.0012226104736328125,0.0645301342010498,0.8959252139925957,0.8098177268356085,0.9202604357898235,0.8730729365348816,1.3678184270858764,0.6398437663912773,0.8143229365348816,0.7841146022081376,2000
3000,0,14.980514777328144,0.0008482933044433594,0.0012258291244506836,0.06410765647888184,0.808465234041214,0.8250000185146927,0.9297135582566262,0.8867448100447655,1.409529185295105,0.6528646029531956,0.8445312708616257,0.7958333536982536,3000
4000,0,15.063005053534077,0.0008436441421508789,0.0012279748916625977,0.06471514701843262,0.7517403954267502,0.836328143402934,0.9326562651991844,0.8971093918383122,1.5205941081047059,0.6388021044433116,0.8346354365348816,0.7843750238418579,4000
5000,0,14.989827205264943,0.0008856058120727539,0.0012089014053344727,0.0666513442993164,0.7268458837270737,0.8431771013885736,0.9398958478868008,0.8994271017611026,1.4930395483970642,0.6843750193715096,0.8434896022081375,0.7776041865348816,5000
6000,1,14.68796825667749,0.0008522272109985352,0.0011447668075561523,0.06440615653991699,0.71852463722229,0.8494271018356084,0.9411198075115681,0.8986718919873238,1.3797215342521667,0.6562500163912773,0.8437500178813935,0.7979166895151139,6000
7000,1,15.019357596229003,0.0009279251098632812,0.001164078712463379,0.06325650215148926,0.681011016368866,0.8420833515748382,0.9434114752709866,0.9054427264630794,1.4609609246253967,0.6281250171363354,0.8359375193715095,0.7911458492279053,7000
8000,1,14.672887417399712,0.0009260177612304688,0.001239776611328125,0.06665992736816406,0.6438238127529621,0.856406266912818,0.9464062637090683,0.9101562671363354,1.3557760953903197,0.6963541813194751,0.8611979380249977,0.8106771066784859,8000
9000,1,15.181722068153752,0.0009229183197021484,0.001248002052307129,0.06583285331726074,0.6434478098154068,0.8558593919873237,0.9484895980358123,0.910182309448719,1.7117447555065155,0.7088541805744171,0.8554687723517418,0.7841146007180214,9000
10000,1,14.914290470988954,0.0009326934814453125,0.0011936426162719727,0.06627786159515381,0.6182543380558491,0.8609896004199982,0.9525000147521496,0.9191666834056378,1.3720151424407958,0.6484375193715095,0.8614583596587181,0.8080729350447655,10000
11000,1,15.227032245786713,0.0010218620300292969,0.0012143850326538086,0.06347620487213135,0.6195008131861687,0.8680729328095913,0.9595833472907543,0.9139062657952308,1.3247198939323426,0.6786458499729633,0.8479166820645332,0.8046875201165676,11000
12000,2,15.421851186613303,0.0012309551239013672,0.0011461973190307617,0.06427860260009766,0.5919261923432351,0.8622135581448674,0.9558854308724404,0.9185416845977307,1.4265714883804321,0.7020833529531956,0.8414062663912774,0.7937500178813934,12000
13000,2,15.298184466173456,0.001219630241394043,0.0011279582977294922,0.06338334083557129,0.5641109339892865,0.8733593925088644,0.9632812631130219,0.9223698072135449,1.4185348629951477,0.7151041835546493,0.8479166835546493,0.7893229350447655,13000
14000,2,16.270644453920095,0.0010571479797363281,0.001017451286315918,0.059412479400634766,0.561649599969387,0.8632812662422658,0.9573177216947079,0.9230989743769169,1.4298614382743835,0.7007812671363354,0.8718750163912773,0.8023437663912774,14000
15000,2,15.188550705187987,0.0011290311813354492,0.0010514259338378906,0.06340336799621582,0.5591766180098057,0.8728125177323818,0.9636718884110451,0.9246875160932541,1.3997526228427888,0.688281274586916,0.8596354365348816,0.8036458522081376,15000
16000,2,14.96953987240909,0.0012161731719970703,0.001146554946899414,0.06414592266082764,0.5549080847203731,0.8776041847467423,0.9662239713966847,0.9253646002709865,1.4212442994117738,0.7098958477377891,0.8489583507180214,0.8026041850447655,16000
17000,2,15.113566036794218,0.001218557357788086,0.0010528564453125,0.06463301181793213,0.5336067081987858,0.8751823089271784,0.9643750138580799,0.925729183703661,1.5306507706642152,0.7338541820645332,0.8463541880249977,0.8028646007180213,17000
18000,3,15.765230706338645,0.0007648468017578125,0.001041412353515625,0.05975699424743652,0.5203638619184494,0.8706770998984575,0.96234376385808,0.9325781416893005,1.5025561690330504,0.7234375216066837,0.8567708492279053,0.8041666835546494,18000
19000,3,15.118530020200193,0.0009253025054931641,0.0012100934982299805,0.06421875953674316,0.4867077124118805,0.876901058331132,0.9670833447575569,0.9358854319155216,1.5098889827728272,0.7335937678813934,0.8505208507180214,0.7937500178813934,19000
20000,3,15.105214926155114,0.0009402036666870117,0.001234292984008789,0.06413698196411133,0.49775520235300064,0.8820312643051147,0.9666927208006382,0.9323177252709866,1.5183136940002442,0.7375000193715096,0.8424479380249977,0.8091145992279053,20000
21000,3,15.095840119790521,0.0007624626159667969,0.0010540485382080078,0.06045544147491455,0.49349463000893595,0.880026057884097,0.9663802202045918,0.9348437657952309,1.3759335279464722,0.7221354350447655,0.8546875163912773,0.8151041865348816,21000
22000,3,15.350103380613398,0.0007938146591186523,0.0010770559310913086,0.060469746589660645,0.48652117416262625,0.8744270992651582,0.9673958468437195,0.9352604342997074,1.3880673348903656,0.7348958544433117,0.8445312708616257,0.8138021022081375,22000
23000,3,15.106286669887956,0.0009151697158813477,0.0012439489364624023,0.06554484367370605,0.4972736299037933,0.8805208498984576,0.9670833463966847,0.9346354329586029,1.3573083281517029,0.7570312663912773,0.8507812678813934,0.8130208551883698,23000
24000,4,15.24755948580115,0.0012052059173583984,0.0010930299758911133,0.06377434730529785,0.48472776025533676,0.8809375154227018,0.9710937632620334,0.9357031412422657,1.2917918920516969,0.7406250193715096,0.8476562738418579,0.8158854328095912,24000
25000,4,15.042500411720049,0.0011347532272338867,0.0010676383972167969,0.06413924694061279,0.49702325478196147,0.8866145997494459,0.9698177215456962,0.9337239743769169,1.2715138733386993,0.7403646022081375,0.8705729335546494,0.8203125208616256,25000
26000,4,15.158769372065121,0.0011475086212158203,0.0010544061660766602,0.06363224983215332,0.5377540811896324,0.8771093923598527,0.9689843879640102,0.9293750162422657,1.4271422743797302,0.7638021022081375,0.852343775331974,0.8041666865348815,26000
27000,4,15.14368597752268,0.0011719465255737305,0.0010737180709838867,0.06377720832824707,0.49169924303889273,0.8778385572135449,0.966875011920929,0.9346875175833702,1.3665024757385253,0.7523437671363353,0.8447916835546494,0.8085937693715095,27000
28000,4,15.107372169432495,0.001099228858947754,0.0010639429092407227,0.06474244594573975,0.4859465831518173,0.8871614732593298,0.9705468858778477,0.9361458490788936,1.4508462607860566,0.7432291835546494,0.8393229365348815,0.7958333507180214,28000
29000,4,15.273408981358942,0.0012305974960327148,0.001141667366027832,0.0652623176574707,0.47172676146030423,0.8858333483338356,0.9707812616229057,0.9397395995259284,1.5382682800292968,0.7567708492279053,0.8385416880249977,0.7864583522081375,29000
30000,5,15.120275706931606,0.0008944272994995117,0.0011914968490600586,0.0630190372467041,0.4722238025069237,0.8777343916147947,0.9674479292333126,0.9392968909442425,1.4311901450157165,0.7445312693715096,0.8518229439854622,0.8231771022081376,30000
